congressman_full_name,state,district
"DeFazio, Peter A.",OR,4th
"DeGette, Diana",CO,1st
"Delaney, John K.",MD,6th
"DeLauro, Rosa L.",CT,3d
"DelBene, Suzan K.",WA,1st
"Demings, Val Butler",FL,10th
"Denham, Jeff",CA,10th
"Dent, Charles W.",PA,15th
"DeSantis, Ron",FL,6th
"DeSaulnier, Mark",CA,11th
"DesJarlais, Scott",TN,4th
"Deutch, Theodore E.",FL,22d
"Diaz-Balart, Mario",FL,25th
"Dingell, Debbie",MI,12th
"Doggett, Lloyd",TX,35th
"Donovan, Daniel M., Jr.",NY,11th
"Doyle, Michael F.",PA,14th
"Duffy, Sean P.",WI,7th
"Duncan, Jeff",SC,3d
"Duncan, John J., Jr.",TN,2d
"Dunn, Neal P.",FL,2d
"Ellison, Keith",MN,5th
"Emmer, Tom",MN,6th
"Engel, Eliot L.",NY,16th
"Eshoo, Anna G.",CA,18th
"Espaillat, Adriano",NY,13th
"Estes, Ron",KS,4th
"Esty, Elizabeth H.",CT,5th
"Evans, Dwight",PA,2d
"Farenthold, Blake",TX,27th
"Faso, John J.",NY,19th
"Ferguson, A. Drew, IV",GA,3d
"Fitzpatrick, Brian K.",PA,8th
"Fleischmann, Charles J. ""Chuck""",TN,3d
"Flores, Bill",TX,17th
"Fortenberry, Jeff",NE,1st
"Foster, Bill",IL,11th
"Foxx, Virginia",NC,5th
"Frankel, Lois",FL,21st
"Franks, Trent",AZ,8th
"Frelinghuysen, Rodney P.",NJ,11th
"Fudge, Marcia L.",OH,11th
"Gabbard, Tulsi",HI,2d
"Gaetz, Matt",FL,1st
"Gallagher, Mike",WI,8th
"Gallego, Ruben",AZ,7th
"Garamendi, John",CA,3d
"Garrett, Thomas A., Jr.",VA,5th
"Gianforte, Greg",MT,At Large
"Gibbs, Bob",OH,7th
"Gohmert, Louie",TX,1st
"Gomez, Jimmy",CA,34th
"Gonzalez, Vicente",TX,15th
"González-Colón, Jenniffer",PR,Resident Commissioner
"Goodlatte, Bob",VA,6th
"Gosar, Paul A.",AZ,4th
"Gottheimer, Josh",NJ,5th
"Gowdy, Trey",SC,4th
"Granger, Kay",TX,12th
"Graves, Garret",LA,6th
"Graves, Sam",MO,6th
"Graves, Tom",GA,14th
"Green, Al",TX,9th
"Green, Gene",TX,29th
"Griffith, H. Morgan",VA,9th
"Grijalva, Raúl M.",AZ,3d
"Grothman, Glenn",WI,6th
"Guthrie, Brett",KY,2d
"Gutiérrez, Luis V.",IL,4th
"Hanabusa, Colleen",HI,1st
"Handel, Karen C.",GA,6th
"Harper, Gregg",MS,3d
"Harris, Andy",MD,1st
"Hartzler, Vicky",MO,4th
"Hastings, Alcee L.",FL,20th
"Heck, Denny",WA,10th
"Hensarling, Jeb",TX,5th
"Herrera Beutler, Jaime",WA,3d
"Hice, Jody B.",GA,10th
"Higgins, Brian",NY,26th
"Higgins, Clay",LA,3d
"Hill, J. French",AR,2d
"Himes, James A.",CT,4th
"Holding, George",NC,2d
"Hollingsworth, Trey",IN,9th
"Hoyer, Steny H.",MD,5th
"Hudson, Richard",NC,8th
"Huffman, Jared",CA,2d
"Huizenga, Bill",MI,2d
"Hultgren, Randy",IL,14th
"Hunter, Duncan",CA,50th
"Hurd, Will",TX,23d
"Issa, Darrell E.",CA,49th
"Jackson Lee, Sheila",TX,18th
"Jayapal, Pramila",WA,7th
"Jeffries, Hakeem S.",NY,8th
"Jenkins, Evan H.",WV,3d
"Jenkins, Lynn",KS,2d
"Johnson, Bill",OH,6th
"Johnson, Eddie Bernice",TX,30th
"Johnson, Henry C. ""Hank"", Jr.",GA,4th
"Johnson, Mike",LA,4th
"Johnson, Sam",TX,3d
"Jones, Walter B.",NC,3d
"Jordan, Jim",OH,4th
"Joyce, David P.",OH,14th
"Kaptur, Marcy",OH,9th
"Katko, John",NY,24th
"Keating, William R.",MA,9th
"Kelly, Mike",PA,3d
"Kelly, Robin L.",IL,2d
"Kelly, Trent",MS,1st
"Kennedy, Joseph P., III",MA,4th
"Khanna, Ro",CA,17th
"Kihuen, Ruben J.",NV,4th
"Kildee, Daniel T.",MI,5th
"Kilmer, Derek",WA,6th
"Kind, Ron",WI,3d
"King, Peter T.",NY,2d
"King, Steve",IA,4th
"Kinzinger, Adam",IL,16th
"Knight, Stephen",CA,25th
"Krishnamoorthi, Raja",IL,8th
"Kuster, Ann M.",NH,2d
"Kustoff, David",TN,8th
"Labrador, Raúl R.",ID,1st
"LaHood, Darin",IL,18th
"LaMalfa, Doug",CA,1st
"Lamborn, Doug",CO,5th
"Lance, Leonard",NJ,7th
"Langevin, James R.",RI,2d
"Larsen, Rick",WA,2d
"Larson, John B.",CT,1st
"Latta, Robert E.",OH,5th
"Lawrence, Brenda L.",MI,14th
"Lawson, Al, Jr.",FL,5th
"Lee, Barbara",CA,13th
"Levin, Sander M.",MI,9th
"Lewis, Jason",MN,2d
"Lewis, John",GA,5th
"Lieu, Ted",CA,33d
"Lipinski, Daniel",IL,3d
"LoBiondo, Frank A.",NJ,2d
"Loebsack, David",IA,2d
"Lofgren, Zoe",CA,19th
"Long, Billy",MO,7th
"Loudermilk, Barry",GA,11th
"Love, Mia B.",UT,4th
"Lowenthal, Alan S.",CA,47th
"Lowey, Nita M.",NY,17th
"Lucas, Frank D.",OK,3d
"Luetkemeyer, Blaine",MO,3d
"Luján, Ben Ray",NM,3d
"Lujan Grisham, Michelle",NM,1st
"Lynch, Stephen F.",MA,8th
"MacArthur, Thomas",NJ,3d
"Maloney, Carolyn B.",NY,12th
"Maloney, Sean Patrick",NY,18th
"Marchant, Kenny",TX,24th
"Marino, Tom",PA,10th
"Marshall, Roger W.",KS,1st
"Massie, Thomas",KY,4th
"Mast, Brian J.",FL,18th
"Matsui, Doris O.",CA,6th
"McCarthy, Kevin",CA,23d
"McCaul, Michael T.",TX,10th
"McClintock, Tom",CA,4th
"McCollum, Betty",MN,4th
"McEachin, A. Donald",VA,4th
"McGovern, James P.",MA,2d
"McHenry, Patrick T.",NC,10th
"McKinley, David B.",WV,1st
"McMorris Rodgers, Cathy",WA,5th
"McNerney, Jerry",CA,9th
"McSally, Martha",AZ,2d
